Mine_ID,Latitude,Longitude,State,Mine_Name,Mine_Status,Substatus,Commodity,C1_Temperature,C2_Rainfall,C3_Faults,C4_Direct_Use,C5_Roads,C6_Railways,C7_Powerlines,C8_Ports,C9_Health,C10_Manufacturing,C11_Agriculture,C12_Education,C13_Data_Centres,C14_Built_Up,TOPSIS_Score,Rank,Suitability_Class
17646,-35.603897,146.62106,NSW,Coonerty and Murphys Reef,Inactive mine,Ceased/Terminated,Au,32.8467,500.0,43.0657661188,86.6627556392,1.35176408408,3.74710200133,32.093270945,288.748411595,38.4305704728,33.6045570161,30.0006675599,48.0651558187,59.0645696934,3.69006894388,0.818849,33691,Moderately Suitable
17647,-35.613141,146.640472,NSW,Show Day Reef,Inactive mine,Ceased/Terminated,Au,32.918,500.0,42.3115482254,86.285891413,1.30586398384,5.77855573583,30.0794246373,288.799437727,36.8344757488,31.722840005,30.5511470545,47.9314087774,57.3444116451,5.68022651764,0.819386,33515,Moderately Suitable
17648,-35.619676,146.636799,NSW,Welcome Find Reef,Inactive mine,Ceased/Terminated,Au,32.8564,500.0,41.5401095001,85.489804742,0.53633826377,5.87475173669,30.1293911709,288.007621972,37.0504297413,31.9702327747,29.8192090408,47.1342604634,56.8505212,5.6786554814,0.819559,33457,Moderately Suitable
17649,-35.721115,146.581543,NSW,"Goombargana Tin Prospect, Balldale Prospect",Inactive mine,Ceased/Terminated,Sn,32.446,500.0,29.7587612824,73.1944853739,1.67929099868,12.1212819977,25.1102238107,275.809769228,29.009224828,31.7909281355,19.2985110177,34.8479696749,50.0972833262,13.8871048981,0.822426,32200,Moderately Suitable
17650,-35.729418,147.381038,NSW,"Currajong Alluvials, Currajong Mine",Inactive mine,Ceased/Terminated,Sn,30.4502,800.0,37.7745819807,69.0967078927,3.52612297594,5.86432357372,5.55490110679,274.717863516,5.5259124765,36.6272509552,58.6737258417,48.064000046,55.9560477866,4.91265101374,0.835565,17665,Suitable
17651,-35.739464,147.37173,NSW,"Purtells Gully Alluvials, Kildrummie Alluvials",Inactive mine,Ceased/Terminated,Sn,30.3745,800.0,36.42802639,69.8616129025,2.3541449584,5.4227115738,4.80659909849,274.790485281,4.95846649226,36.1053445638,59.9132599052,46.6866748052,54.5797242959,4.55653233531,0.835964,17515,Suitable
17652,-35.737606,147.386241,NSW,Wachsmuths Workings,Inactive mine,Ceased/Terminated,"Bi, Sn, Mo, Au",30.3737,800.0,37.1135086222,69.1100851763,3.13626539707,6.56108280679,6.0689402443,273.818346813,6.15174157906,37.3124249804,59.4989162193,47.7906244027,55.6856941093,5.66041210767,0.835543,17680,Suitable
17653,-35.754337,147.364288,NSW,Walkers Molybdenite Deposit,Inactive mine,Ceased/Terminated,Mo,30.263,800.0,34.6450788117,69.1559980841,0.67421250442,5.80582571187,4.8057037964,274.433095166,5.21351447888,35.9614708722,59.9713615046,45.0727989645,52.967939248,4.74271274954,0.836365,17275,Suitable
17654,-35.754103,147.384496,NSW,South Grimwood Prospect,Inactive mine,Ceased/Terminated,Mo,30.2312,800.0,35.3705483706,67.890738233,1.3544428486,7.22913462339,6.40681430559,272.927094897,6.69897845679,37.6855073482,61.3337301407,46.4590188822,54.3537098909,6.35948902321,0.83583,17569,Suitable
17655,-35.762167,147.399812,NSW,Nooroona Tin Mine,Inactive mine,Ceased/Terminated,Sn,30.1311,800.0,35.1517256354,66.2854262471,0.49138411756,8.87763399253,8.03855489302,271.278759255,8.34571461321,39.2808855821,62.0323071825,46.9508032501,54.8381175084,7.99347824005,0.835543,17681,Suitable
17656,-35.764448,147.416018,NSW,Moonbril Lode,Inactive mine,Ceased/Terminated,Sn,30.0775,800.0,35.6092745687,65.0949130338,0.24046915749,10.2593545316,9.47741804162,269.920955395,9.75024959387,40.7502946686,62.1196627005,47.9466227715,55.8243208885,9.41558284016,0.835142,17958,Suitable
17657,-35.658575,147.449485,NSW,Dalriada Mine,Inactive mine,Ceased/Terminated,Au,31.0737,800.0,36.6170893239,61.6306780945,1.0019448922,13.6559132156,14.225481576,274.198103044,13.7588525916,41.732623815,50.1523679883,57.9861799237,61.616101823,12.5950787114,0.834719,18209,Suitable
17658,-35.557394,147.566662,NSW,Small and Party Workings,Inactive mine,Ceased/Terminated,Au,31.0857,800.0,22.0660859417,53.0278428272,2.85574176814,18.6094863911,27.5339769121,272.714893078,28.9710334929,50.7083922254,39.5202467705,51.4410887491,53.0458411095,27.7684700432,0.834235,18567,Suitable
17659,-35.5425,147.587263,NSW,Billabong Gold Mine,Inactive mine,Ceased/Terminated,"Au, Ag",30.9885,800.0,19.6974156686,52.1441986354,2.87175794637,16.4903203341,25.6401977141,272.335274731,31.4634827552,49.7754045218,38.307648433,50.6080826261,52.168558148,28.2207925968,0.834607,18277,Suitable
17660,-35.557727,147.603981,NSW,Riley and Tunbridge Workings,Inactive mine,Ceased/Terminated,Au,30.7404,800.0,18.9826671636,54.2865576086,0.60569882723,15.3158861102,26.8587748355,270.088828441,31.6210039866,51.9026043119,40.3309892356,52.7666084659,54.3129233284,26.0863141283,0.834342,18472,Suitable
17661,-35.647667,147.594671,NSW,Lees Workings,Inactive mine,Ceased/Terminated,Au,30.206,800.0,24.6401498096,63.3329213652,2.83590829724,19.6792167792,26.5350975024,264.461263714,26.2230450608,54.855463625,49.8496550768,61.7277672535,63.3486890619,23.9959667373,0.832477,19837,Moderately Suitable
